source_table_name,source_field,destination_table_name,destination_field
ETACIV,ETCNOM,DIC_ADM_PERSO,NOM
ETACIV,ETCPRE,DIC_ADM_PERSO,PRENOM
ETACIV,ETPRENOM01,DIC_ADM_PERSO,ETA_ETPRENOM01
ETACIV,ETPRENOM02,DIC_ADM_PERSO,ETA_ETPRENOM02
ETACIV,ETPRENOM03,DIC_ADM_PERSO,ETA_ETPRENOM03
ETACIV,ETCNJF,DIC_ADM_PERSO,ETA_ETCNJF
ETACIV,ETCAPP,DIC_ADM_PERSO,ETA_ETCAPP
ETACIV,ETLAPP,DIC_ADM_PERSO,ETA_ETLAPP
ETACIV,ETCSEX,DIC_ADM_PERSO,ETA_ETCSEX
ETACIV,ETCSFA,DIC_ADM_PERSO,ETA_ETCSFA
ETACIV,ETLSFA,DIC_ADM_PERSO,ETA_ETLSFA
ETACIV,ETDSFA,DIC_ADM_PERSO,ETA_ETDSFA
ETACIV,ETCNPC,DIC_ADM_PERSO,ETA_ETCNPC
ETACIV,ETCNET,DIC_ADM_PERSO,ETA_ETCNET
ETACIV,ETCNES,DIC_ADM_PERSO,ETA_ETCNES
ETACIV,ETCNEN,DIC_ADM_PERSO,ETA_ETCNEN
ETACIV,ETCNEH,DIC_ADM_PERSO,ETA_ETCNEH
ETACIV,ETCNEM,DIC_ADM_PERSO,ETA_ETCNEM
ETACIV,ETCNEA,DIC_ADM_PERSO,ETA_ETCNEA
ETACIV,ETCDNA,DIC_ADM_PERSO,DSNAI
ETACIV,ETLNAI,DIC_ADM_PERSO,ETA_ETLNAI
ETACIV,ETCPSN,DIC_ADM_PERSO,ETA_ETCPSN
ETACIV,ETCNAI,DIC_ADM_PERSO,ETA_ETCNAI
ETACIV,ETCPNA,DIC_ADM_PERSO,ETA_ETCPNA
ETACIV,ETLPNA,DIC_ADM_PERSO,ETA_ETLPNA
ETACIV,ETCNOR,DIC_ADM_PERSO,ETA_ETCNOR
ETACIV,ETLNOR,DIC_ADM_PERSO,ETA_ETLNOR
ETACIV,ETCNAT,DIC_ADM_PERSO,ETA_ETCNAT
ETACIV,ETLNAT,DIC_ADM_PERSO,ETA_ETLNAT
ETACIV,ETCGNA,DIC_ADM_PERSO,ETA_ETCGNA
ETACIV,ETLGNA,DIC_ADM_PERSO,ETA_ETLGNA
ETACIV,ETCDDE,DIC_ADM_PERSO,ETA_ETCDDE
ETACIV,ETCLDD,DIC_ADM_PERSO,ETA_ETCLDD
ETACIV,ETNUMV,DIC_ADM_PERSO,ETA_ETNUMV
ETACIV,ETCBTQ,DIC_ADM_PERSO,ETA_ETCBTQ
ETACIV,ETNOMV,DIC_ADM_PERSO,ETA_ETNOMV
ETACIV,ETCLOC,DIC_ADM_PERSO,ETA_ETCLOC
ETACIV,ETCPST,DIC_ADM_PERSO,ETA_ETCPST
ETACIV,ETCBUR,DIC_ADM_PERSO,ETA_ETCBUR
ETACIV,ETNINS,DIC_ADM_PERSO,ETA_ETNINS
ETACIV,ETCPAY,DIC_ADM_PERSO,ETA_ETCPAY
ETACIV,ETLPAY,DIC_ADM_PERSO,ETA_ETLPAY
ETACIV,ETNCOM,DIC_ADM_PERSO,ETA_ETNCOM
ETACIV,CDISTRIBETR,DIC_ADM_PERSO,ETA_CDISTRIBETR
ETACIV,ETIDENTDEST,DIC_ADM_PERSO,ETA_ETIDENTDEST
ETACIV,ETCTEL,DIC_ADM_PERSO,ETA_ETCTEL
ETACIV,ETCFAX,DIC_ADM_PERSO,ETA_ETCFAX
ETACIV,ETCPHON,DIC_ADM_PERSO,ETA_ETCPHON
ETACIV,ETNOMUS,DIC_ADM_PERSO,ETA_ETNOMUS
ETACIV,ETPREN00,DIC_ADM_PERSO,ETA_ETPREN00
ETACIV,ETPSEUDO,DIC_ADM_PERSO,ETA_ETPSEUDO
ETACIV,CPARENTEMPL,DIC_ADM_PERSO,ETA_CPARENTEMPL
ETACIV,LPARENTEMPL,DIC_ADM_PERSO,ETA_LPARENTEMPL
ETACIV,COMPNJF,DIC_ADM_PERSO,ETA_COMPNJF
ETACIV,COMPO,DIC_ADM_PERSO,ETA_COMPO
ETACIV,E1CODE,DIC_ADM_PERSO,ETA_E1CODE00
ETACIV,E1CODE01,DIC_ADM_PERSO,ETA_E1CODE01
ETACIV,E1CODE02,DIC_ADM_PERSO,ETA_E1CODE02
ETACIV,E1LIB,DIC_ADM_PERSO,ETA_E1LIB00
ETACIV,E1LIB01,DIC_ADM_PERSO,MELPER
ETACIV,E1LIB02,DIC_ADM_PERSO,ETA_E1LIB02
ETACIV,E1DATE,DIC_ADM_PERSO,ETA_E1DATE00
ETACIV,E1DATE01,DIC_ADM_PERSO,ETA_E1DATE01
ETACIV,E1DATE02,DIC_ADM_PERSO,ETA_E1DATE02
ETACIV,E1MTS,DIC_ADM_PERSO,ETA_E1MTS00
ETACIV,E1MTS01,DIC_ADM_PERSO,ETA_E1MTS01
ETACIV,E1MTS02,DIC_ADM_PERSO,ETA_E1MTS02
ETACIV,E2LIB00,DIC_ADM_PERSO,ETA_E2LIB00
ETACIV,E2LIB01,DIC_ADM_PERSO,ETA_E2LIB01
ETACIV,E2LIB02,DIC_ADM_PERSO,ETA_E2LIB02
ETACIV,ETINT00,DIC_ADM_PERSO,ETA_ETINT00
ETACIV,ETINT01,DIC_ADM_PERSO,ETA_ETINT01
ETACIV,ETINT02,DIC_ADM_PERSO,ETA_ETINT02
ETACIV,MODCOD00,DIC_ADM_PERSO,ETA_MODCOD00
ETACIV,MODCOD01,DIC_ADM_PERSO,ETA_MODCOD01
ETACIV,MODCOD02,DIC_ADM_PERSO,ETA_MODCOD02
ETACIV,MODDAT00,DIC_ADM_PERSO,ETA_MODDAT00
ETACIV,MODDAT01,DIC_ADM_PERSO,ETA_MODDAT01
ETACIV,MODDAT02,DIC_ADM_PERSO,ETA_MODDAT02
ETACIV,MODINT00,DIC_ADM_PERSO,ETA_MODINT00
ETACIV,MODINT01,DIC_ADM_PERSO,ETA_MODINT01
ETACIV,MODINT02,DIC_ADM_PERSO,ETA_MODINT02
ETACIV,MODLI100,DIC_ADM_PERSO,ETA_MODLI100
ETACIV,MODLI101,DIC_ADM_PERSO,ETA_MODLI101
ETACIV,MODLI102,DIC_ADM_PERSO,ETA_MODLI102
ETACIV,REFUSDEMAT,DIC_ADM_PERSO,ETA_REFUSDEMAT
ETACIV,DATMAJ,DIC_ADM_PERSO,ETA_DATMAJ
FAMILLE,H1DDEB,DIC_F,FAM_H1DDEB
FAMILLE,FA1CODE,DIC_F,FAM_FA1CODE
FAMILLE,FANOM,DIC_F,FAM_FANOM
FAMILLE,FAPREN,DIC_F,FAM_FAPREN
FAMILLE,FASEXE,DIC_F,FAM_FASEXE
FAMILLE,FASITU,DIC_F,FAM_FASITU
FAMILLE,FALIEN,DIC_F,FAM_FALIEN
FAMILLE,FACHARG,DIC_F,FAM_FACHARG
FAMILLE,FACHAN,DIC_F,FAM_FACHAN
FAMILLE,FACMUT,DIC_F,FAM_FACMUT
FAMILLE,FA2CODE02,DIC_F,FAM_FA2CODE02
FAMILLE,FALLOC,DIC_F,FAM_FALLOC
FAMILLE,FA2CODE,DIC_F,FAM_FA2CODE00
FAMILLE,FA1LIB,DIC_F,FAM_FA1LIB00
FAMILLE,FA2CODE01,DIC_F,FAM_FA2CODE01
FAMILLE,H1DFIN,DIC_F,FAM_H1DFIN
FAMILLE,FA1LIB01,DIC_F,FAM_FA1LIB01
FAMILLE,FACSOC,DIC_F,FAM_FACSOC
FAMILLE,ETCMAT,DIC_F,FAM_ETCMAT
FAMILLE,CLEDIS,DIC_F,FAM_CLEDIS
FAMILLE,FA2CODE03,DIC_F,FAM_FA2CODE03
FAMILLE,FA1LIB02,DIC_F,FAM_FA1LIB02
FAMILLE,FADATE,DIC_F,FAM_FADATE00
FAMILLE,FADATE01,DIC_F,FAM_FADATE01
FAMILLE,FA1MTS,DIC_F,FAM_FA1MTS00
FAMILLE,FA1MTS01,DIC_F,FAM_FA1MTS01
FAMILLE,FA1INT00,DIC_F,FAM_FA1INT00
